target,alpha,avg_mse,avg_rmse,avg_mae,avg_r2,avg_overall_r2,avg_overall_mse,avg_overall_rmse,avg_overall_mae,avg_train_r2,best_mse,best_rmse,best_mae,best_r2
logcrime,0.0038107741150531123,0.757850677009156,0.870546194644004,0.7002126788174502,0.23675041501658875,0.2369026343067969,0.7577251724211111,0.8704741077023714,0.7001572223773689,0.23693261077691968,0.7479828671258899,0.8648600274760592,0.6945834638239083,0.233752844569025
logcrime,0.0038107741150531123,0.757850677009156,0.870546194644004,0.7002126788174502,0.23675041501658875,0.2369026343067969,0.7577251724211111,0.8704741077023714,0.7001572223773689,0.23693261077691968,0.7479828671258899,0.8648600274760592,0.6945834638239083,0.233752844569025
logpetty,0.013925451558513054,0.9249775095059224,0.9617575107613782,0.7516798025586531,0.06312528298237222,0.0634152522744073,0.9247562473266623,0.9616424728021284,0.751592791788901,0.06346704855950662,0.9158728779172444,0.9570124753195458,0.7500386440496998,0.06308513002415217
walkbike_per_cbg,0.0015684901610063613,0.8628546317398174,0.9288996887392187,0.6805159425119379,0.11617759758578945,0.11629796539087042,0.8627576399497187,0.9288474793599525,0.680478280674754,0.11632150172981268,0.8493028736111179,0.9215762983123632,0.6773700470255429,0.11606929181354475
publictrans_per_cbg,0.00038700547723585565,0.7464966475675001,0.8640003747496294,0.6466349402480313,0.2635807696229142,0.2636622160049672,0.7464174102280896,0.8639545186095023,0.6465994569607204,0.26368155666546306,0.7385598295383968,0.8593950369523883,0.6446170136655625,0.26397995499754423
drove_alone_per_cbg,0.00036523287281630177,0.8171070886499038,0.9039397594142564,0.7094787411646617,0.17649506919213945,0.1765694165404191,0.817045020904214,0.9039054269670295,0.7094524265628809,0.1765843124716983,0.8096820199015914,0.8998233270490332,0.7066736932242161,0.1801161064239507
estvmiles,0.0006334063494375945,0.6408173766316406,0.800510697387387,0.6125364100852254,0.374060352169521,0.3741336983303003,0.6407575503176177,0.8004733289219234,0.612502170356551,0.3741473971221916,0.6339910536409639,0.796235551605782,0.6108833409507006,0.3741464722216784
estpmiles,0.0006287234639445345,0.6828372190736203,0.8263396511566053,0.6387905238287008,0.3268115501805783,0.3269155044124125,0.6827694076077322,0.8262986189066792,0.6387567300347727,0.326929897465902,0.6798967007759047,0.8245584883899412,0.6368959928664968,0.3282793446037646
estvtrp,0.0006745931205462724,0.601856864062408,0.7757943439226713,0.6100899881618331,0.4072268083116832,0.40728745392047205,0.6018051488340732,0.7757610127023835,0.6100629031096174,0.4072995755009064,0.5984524911399248,0.7735971116414052,0.6077814574944467,0.4107981225678511
estptrp,0.0005327201067893675,0.6875310047397272,0.8291748939395881,0.6552143345861828,0.29738847507595284,0.29745072746438883,0.687473164849736,0.829140015224111,0.6551877160462147,0.2974653066576374,0.684643933989803,0.8274321325581954,0.6530135398412031,0.2986412101307133
obesitycru,0.0006446477026826426,0.614015143203335,0.7835911837197602,0.621077185863062,0.3861404312388106,0.38619101497394503,0.6139666247323399,0.7835602240579114,0.6210559569250724,0.3862030152738792,0.6100163586223825,0.781035440055304,0.6184356222018792,0.3869258535350406
diabetescr,0.0010815184108160967,0.685322860005213,0.8278422917471739,0.6404357601528753,0.3157534398957274,0.3158304553727297,0.6852520898272199,0.8277995468857988,0.640403319073494,0.31584772776916303,0.6785963614971664,0.8237696046208347,0.6381214879713645,0.3223142195909101
lpacrudepr,0.0006750139534002284,0.5494269812630652,0.7412334188790095,0.5856677825260377,0.44580807243269616,0.44586410559441036,0.549369520913958,0.7411946579073374,0.5856382822135682,0.4458787169219708,0.5454857543004713,0.7385700740623542,0.5840424370039231,0.4493290457344965
mhlthcrude,0.0006514959038442442,0.5773014822143951,0.7598035813382266,0.5971607491029877,0.42054924046181136,0.4206017584272647,0.5772530301242197,0.759771696049492,0.5971310143334831,0.4206136770006914,0.5728829075628127,0.7568902876657968,0.5942730855803995,0.4233700899109757
phlthcrude,0.0006196950203736028,0.6000233242962543,0.7746117248636598,0.6042661489081927,0.3979573841019445,0.39804844210223295,0.599951769673923,0.7745655360635919,0.6042333776212311,0.39806518994405954,0.5965312516538536,0.7723543562729828,0.6030455565771903,0.3967332149832662
cancercrud,0.0006093484640862422,0.6811726583137403,0.8253318473885157,0.6434410471123253,0.32745266539140544,0.327531946626508,0.681106647974633,0.825291856235868,0.6434125523855743,0.3275473607065823,0.6754719941199273,0.8218710325348664,0.6412039667148947,0.3328473415205755
mhincome_cbg,23.784941112800258,1046550332.5245149,32350.430175262198,23951.004087819823,0.32779962966882736,0.32788297930082516,1046427318.4784943,32348.52884527745,23949.61012111124,0.32790243077516623,1027773138.0152755,32058.901073107223,23847.386466775468,0.3296428580195778
povertyline_below100,0.0002789549039166894,0.8484688657597435,0.921123697317436,0.7027339679714254,0.12450909740834985,0.12461146023452443,0.8483865989005818,0.9210790405269915,0.7026985072372263,0.12463157725410116,0.8410520144432447,0.9170888803399836,0.7008129642252939,0.12502162917484538
povertyline_below200,0.0005663487325501173,0.6397893156415556,0.7998683114372988,0.6374405493860384,0.3464260968757119,0.3464944179800502,0.639726959326811,0.7998293313732481,0.6374110667690733,0.34651005475888025,0.6342837869513802,0.7964193537021688,0.634310321829249,0.3519993092243997
