target,alpha,avg_mse,avg_rmse,avg_mae,avg_r2,avg_overall_r2,avg_overall_mse,avg_overall_rmse,avg_overall_mae,avg_train_r2,best_mse,best_rmse,best_mae,best_r2
logcrime,0.0008644457409518676,0.878656293710176,0.9373666804992462,0.7561430894581893,0.11509728002346842,0.11528973425349931,0.8784819195995099,0.9372736612933966,0.7560812176525384,0.1153323456363408,0.8649143314388877,0.9300077050427528,0.7493190414493535,0.11396614109212133
logpetty,0.0018308313231185415,0.9716287210408865,0.9857122912091979,0.7733626560165309,0.01588439780132598,0.01611585482285869,0.9714582819202491,0.9856258325989788,0.7732951150038105,0.016155296451541457,0.9599819523847564,0.9797866871848976,0.7700619702595651,0.017962658591803238
walkbike_per_cbg,0.0005337779582555625,0.9233858817655254,0.9609296965780199,0.7051826792101205,0.05418425971167096,0.05425511085493291,0.9233300327459457,0.9609006362494265,0.7051632396584748,0.054268555464644,0.9078141444530048,0.9527928129730013,0.7005623577335476,0.05517239545400143
publictrans_per_cbg,0.0016734526048266596,0.8883075674985556,0.9425006989379666,0.7108254067755334,0.1236867018374033,0.12373771018653501,0.8882573232823733,0.9424740438237011,0.7108061823263057,0.12375001995624205,0.8792432821830286,0.9376797332687897,0.7087070342342531,0.12378028937083496
drove_alone_per_cbg,0.0013404123551438894,0.9021907955412937,0.9498372468698486,0.7451389830498967,0.09075206861775473,0.09079049465252201,0.9021587420057307,0.9498203735467408,0.7451251993854029,0.09079819160494615,0.895515230721241,0.9463166651397623,0.7397480010349989,0.08915965230685241
estvmiles,0.037548358194405315,0.8544405080129411,0.9243595123180921,0.7118901001530371,0.16538386054999668,0.16545796880733438,0.8543983053848926,0.924336683297539,0.7118721734370564,0.1654661067313979,0.8462880674065772,0.9199391650574386,0.7108221684917814,0.16457437457303226
estpmiles,0.015691347812862258,0.8732109485287735,0.9344575691430689,0.7302329377643724,0.13913830180827735,0.13922677803791847,0.8731587589617442,0.9344296435705459,0.7302140270697715,0.13923734944036142,0.8682070009051341,0.9317762611835172,0.7266918139357937,0.1349085292063409
estvtrp,0.0012179477394825727,0.8281519733467404,0.910028556335866,0.7207581271435772,0.18434853869020945,0.1843836752146658,0.8281284190381868,0.9100156145423088,0.720744717766685,0.18438872637138468,0.8239217053070721,0.90770133045351,0.7186074311888468,0.18881411171113394
estptrp,0.0010839732927387172,0.8648061811691299,0.9299495584004166,0.7405969177142289,0.11622050543314477,0.11625411805981986,0.8647814496876316,0.9299362610885374,0.740588552259906,0.11625991515710674,0.8620750093298929,0.928479945572274,0.7384509191981622,0.11687834317513601
obesitycru,0.0009357256460263423,0.8580001965832356,0.9262830002667843,0.7667894828741713,0.14221936202235136,0.14226779207407086,0.8579524925040749,0.9262572496340858,0.7667732253038906,0.14227966640560025,0.8524532165737093,0.9232839306376502,0.7644860348282616,0.14327374870326892
diabetescr,0.0006894752855418652,0.8799829838892507,0.9380740823033384,0.7462382638907531,0.12140116984372526,0.12144059758424934,0.8799495260648149,0.9380562488808225,0.7462254525281765,0.12144857511339344,0.8734334308315809,0.9345766051167667,0.7443933032323349,0.122096087114975
lpacrudepr,0.0009946856584043897,0.8258895040579365,0.9087846301835967,0.7476769853147747,0.16694688440627026,0.16697999974479447,0.8258548184156957,0.9087655464497375,0.7476601992030738,0.16698886630367202,0.821304050636039,0.9062582692787079,0.7464859126938272,0.1708889155394021
mhlthcrude,0.001090130450262492,0.8256615708552397,0.9086592160184366,0.731597539739371,0.1712564994029229,0.1713091862375541,0.8256226011007414,0.9086377722169333,0.7315806073366238,0.17131811856260043,0.8224616192063523,0.9068966970974986,0.7306073218805131,0.1749196906841748
phlthcrude,0.00901673734687366,0.8456648454182281,0.9196003726718623,0.7384999456216198,0.15149206038604102,0.15156657427333955,0.8456147816825961,0.91957315188991,0.738481580067211,0.1515776190098734,0.8407762460962651,0.9169385181658938,0.7367933332510058,0.14973040977365293
cancercrud,0.021517956144685983,0.887256490820657,0.9419429339512331,0.7635519352162776,0.1239690106942358,0.12403813307110008,0.8872145642377113,0.941920678172559,0.7635404271993769,0.12404675474955044,0.8799068039765998,0.9380334770020736,0.7608703027756591,0.12167607890467558
mhincome_cbg,470.6522918232665,1334461851.097735,36530.286764515484,27493.449684990825,0.14287781605118294,0.14292332924748638,1334393289.6879382,36529.34833220914,27492.799920900354,0.14293424596715773,1312638536.1296468,36230.35379525912,27346.535822458132,0.14384158820060855
povertyline_below100,0.0006604687394670559,0.9146880657636194,0.9563932589492773,0.735777297589017,0.05618479134844716,0.05624032117296771,0.9146487847717069,0.9563727226356777,0.735763953927793,0.05624951502358373,0.906684225357205,0.9521996772511557,0.7333206547558763,0.056741946119612474
povertyline_below200,0.0010710782429231979,0.8407661651709899,0.9169330210931385,0.7510041734012086,0.1411239797089323,0.1411674251869194,0.840724802927874,0.9169104661449884,0.750983947516209,0.14117791370060812,0.836450713742069,0.9145767948849725,0.7489138900098066,0.14546035787896905
