target,avg_overall_r2,alpha,avg_mse,avg_rmse,avg_mae,avg_r2,,avg_overall_mse,avg_overall_rmse,avg_overall_mae,avg_train_r2,best_mse,best_rmse,best_mae,best_r2
logcrime,0.236902634,0.003810774,0.757850677,0.870546195,0.700212679,0.236750415,,0.757725172,0.870474108,0.700157222,0.236932611,0.747982867,0.864860027,0.694583464,0.233752845
logpetty,0.063415252,0.013925452,0.92497751,0.961757511,0.751679803,0.063125283,,0.924756247,0.961642473,0.751592792,0.063467049,0.915872878,0.957012475,0.750038644,0.06308513
,0.150158943,,,,,,,,,,,,,,
cancercrud,0.327531947,0.000609348,0.681172658,0.825331847,0.643441047,0.327452665,,0.681106648,0.825291856,0.643412552,0.327547361,0.675471994,0.821871033,0.641203967,0.332847342
diabetescr,0.315830455,0.001081518,0.68532286,0.827842292,0.64043576,0.31575344,,0.68525209,0.827799547,0.640403319,0.315847728,0.678596361,0.823769605,0.638121488,0.32231422
lpacrudepr,0.445864106,0.000675014,0.549426981,0.741233419,0.585667783,0.445808072,,0.549369521,0.741194658,0.585638282,0.445878717,0.545485754,0.738570074,0.584042437,0.449329046
mhlthcrude,0.420601758,0.000651496,0.577301482,0.759803581,0.597160749,0.42054924,,0.57725303,0.759771696,0.597131014,0.420613677,0.572882908,0.756890288,0.594273086,0.42337009
obesitycru,0.386191015,0.000644648,0.614015143,0.783591184,0.621077186,0.386140431,,0.613966625,0.783560224,0.621055957,0.386203015,0.610016359,0.78103544,0.618435622,0.386925854
phlthcrude,0.398048442,0.000619695,0.600023324,0.774611725,0.604266149,0.397957384,,0.59995177,0.774565536,0.604233378,0.39806519,0.596531252,0.772354356,0.603045557,0.396733215
,0.382344621,,,,,,,,,,,,,,
drove_alone_per_cbg,0.176569417,0.000365233,0.817107089,0.903939759,0.709478741,0.176495069,,0.817045021,0.903905427,0.709452427,0.176584312,0.80968202,0.899823327,0.706673693,0.180116106
estptrp,0.297450727,0.00053272,0.687531005,0.829174894,0.655214335,0.297388475,,0.687473165,0.829140015,0.655187716,0.297465307,0.684643934,0.827432133,0.65301354,0.29864121
estpmiles,0.326915504,0.000628723,0.682837219,0.826339651,0.638790524,0.32681155,,0.682769408,0.826298619,0.63875673,0.326929897,0.679896701,0.824558488,0.636895993,0.328279345
estvtrp,0.407287454,0.000674593,0.601856864,0.775794344,0.610089988,0.407226808,,0.601805149,0.775761013,0.610062903,0.407299576,0.598452491,0.773597112,0.607781457,0.410798123
estvmiles,0.374133698,0.000633406,0.640817377,0.800510697,0.61253641,0.374060352,,0.64075755,0.800473329,0.61250217,0.374147397,0.633991054,0.796235552,0.610883341,0.374146472
walkbike_per_cbg,0.116297965,0.00156849,0.862854632,0.928899689,0.680515943,0.116177598,,0.86275764,0.928847479,0.680478281,0.116321502,0.849302874,0.921576298,0.677370047,0.116069292
publictrans_per_cbg,0.263662216,0.000387005,0.746496648,0.864000375,0.64663494,0.26358077,,0.74641741,0.863954519,0.646599457,0.263681557,0.73855983,0.859395037,0.644617014,0.263979955
,0.280330997,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
mhincome_cbg,0.327882979,23.78494111,1046550333,32350.43018,23951.00409,0.32779963,,1046427318,32348.52885,23949.61012,0.327902431,1027773138,32058.90107,23847.38647,0.329642858
povertyline_below100,0.12461146,0.000278955,0.848468866,0.921123697,0.702733968,0.124509097,,0.848386599,0.921079041,0.702698507,0.124631577,0.841052014,0.91708888,0.700812964,0.125021629
povertyline_below200,0.346494418,0.000566349,0.639789316,0.799868311,0.637440549,0.346426097,,0.639726959,0.799829331,0.637411067,0.346510055,0.634283787,0.796419354,0.634310322,0.351999309
,0.266329619,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,0.236902634,,,,,,,,,,,,,,
,0.063415252,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,0.327531947,,,,,,,,,,,,,,
,0.315830455,,,,,,,,,,,,,,
,0.445864106,,,,,,,,,,,,,,
,0.420601758,,,,,,,,,,,,,,
,0.386191015,,,,,,,,,,,,,,
,0.398048442,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,0.176569417,,,,,,,,,,,,,,
,0.297450727,,,,,,,,,,,,,,
,0.326915504,,,,,,,,,,,,,,
,0.407287454,,,,,,,,,,,,,,
,0.374133698,,,,,,,,,,,,,,
,0.116297965,,,,,,,,,,,,,,
,0.263662216,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,0.327882979,,,,,,,,,,,,,,
,0.12461146,,,,,,,,,,,,,,
,0.346494418,,,,,,,,,,,,,,
,0.346494418,,,,,,,,,,,,,,
