Model,Epoch,Accuracy,Precision,Recall,F1 Score,AUC Score
temporal-cities10,16,0.8467,0.9091,0.6452,0.7547,0.804
temporal-cities10,17,0.8538,0.8974,0.6774,0.7721,0.8164
temporal-cities10,18,0.8467,0.9091,0.6452,0.7547,0.804
temporal-cities10,19,0.8608,0.8934,0.7032,0.787,0.8274
temporal-cities10,20,0.8491,0.9099,0.6516,0.7594,0.8072
spatial-cities10,16,0.8538,0.9189,0.6581,0.7669,0.8123
spatial-cities10,17,0.8538,0.9189,0.6581,0.7669,0.8123
spatial-cities10,18,0.8538,0.9115,0.6645,0.7687,0.8137
spatial-cities10,19,0.8561,0.9123,0.671,0.7732,0.8169
spatial-cities10,20,0.8608,0.9138,0.6839,0.7823,0.8233
self-cities10,16,0.8797,0.9062,0.7484,0.8198,0.8519
self-cities10,17,0.8821,0.9134,0.7484,0.8227,0.8537
self-cities10,18,0.8868,0.9023,0.7742,0.8333,0.8629
self-cities10,19,0.8844,0.9077,0.7613,0.8281,0.8583
self-cities10,20,0.8868,0.9023,0.7742,0.8333,0.8629
imagenet,16,0.8278,0.8203,0.6774,0.742,0.796
imagenet,17,0.8255,0.8347,0.6516,0.7319,0.7886
imagenet,18,0.8349,0.8102,0.7161,0.7603,0.8097
imagenet,19,0.8325,0.8231,0.6903,0.7509,0.8024
imagenet,20,0.8325,0.8134,0.7032,0.7543,0.8051
clip,16,0.8939,0.8767,0.8258,0.8505,0.8794
clip,17,0.8986,0.8684,0.8516,0.8599,0.8886
clip,18,0.8915,0.8344,0.8774,0.8553,0.8885
clip,19,0.8939,0.8716,0.8323,0.8515,0.8808
clip,20,0.8962,0.8675,0.8452,0.8562,0.8854
urban2vec,16,0.7925,0.7519,0.6452,0.6944,0.7612
urban2vec,17,0.7925,0.741,0.6645,0.7007,0.7653
urban2vec,18,0.7948,0.7576,0.6452,0.6969,0.7631
urban2vec,19,0.7854,0.7623,0.6,0.6715,0.7461
urban2vec,20,0.7925,0.7248,0.6968,0.7105,0.7722
urban2vec_vit,16,0.7594,0.6853,0.6323,0.6577,0.7325
urban2vec_vit,17,0.7594,0.6879,0.6258,0.6554,0.7311
urban2vec_vit,18,0.7524,0.6689,0.6387,0.6535,0.7283
urban2vec_vit,19,0.7594,0.6828,0.6387,0.66,0.7339
urban2vec_vit,20,0.8094,0.7379,0.6758,0.7054,0.7811
urban2vec_vit_epoch11,16,0.7618,0.725,0.5613,0.6327,0.7193
urban2vec_vit_epoch11,17,0.7618,0.7045,0.6,0.6481,0.7275
urban2vec_vit_epoch11,18,0.7618,0.6985,0.6129,0.6529,0.7302
urban2vec_vit_epoch11,19,0.7642,0.7099,0.6,0.6503,0.7294
urban2vec_vit_epoch11,20,0.7665,0.7188,0.5935,0.6502,0.7299
